dzial,lekcja,url,slowa_kluczowe
Strona Głowna,Strona Główna,https://gigawiedza.pl/,strona główna
Przedmioty,Klasa 4,https://gigawiedza.pl/baza-wiedzy/klasa-4,matematyka polski angielski technika przyroda historia
Język angielski,Słówka klasa 4,https://gigawiedza.pl/baza-wiedzy/klasa-4/jezyk-angielski-klasa-4,podstawówka angielski english słowa slowka vocabs nauka fiszki test sprawdzian czwarta klasa4
Matematyka,Tabliczka Mnożenia,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/tabliczka-mnozenia,arytmetyka mnożenie dzielenie liczby pamięciowo nauka matma iloczyn iloraz tabliczka obliczenia
Matematyka,Kolejność Działań,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/kolejnosc-dzialan,plus minus nawiasy działania dodawanie odejmowanie wyrażenia arytmetyczne pierwszeństwo równania
Matematyka,Konwerter Jednostek,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/konwerter-jadnostek,jednostki miary przelicznik konwersja zamiana metr litr gram kilometry milimetry kalkulator matma
Matematyka,Ułamki Zwykle Dodawanie i Odejmowanie,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/ulamki-mieszane-i-niewlasciwe,ułamek zwykły dodawanie odejmowanie plus minus mianownik licznik wspólny matma obliczenia sumowanie
Matematyka,Ułamki Dziesiętne Dodawanie i odejmowanie,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/ulamki-dziesietne,ułamek przecinek dziesiętne dodawanie odejmowanie plus minus matma rachunki sumowanie cyfry
Matematyka,Ułamki Zwykłe Mieszane i Niewłaściwe,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/ulamki-zwykle,ułamek niewłaściwy mieszany całości wyciąganie licznik mianownik zamiana matma ułamki zwykle niwlasciwe
Matematyka,Kwadraty Prostokwąty Trójkąty i Miary Katów,https://gigawiedza.pl/baza-wiedzy/klasa-4/matematyka-klasa-4/kwadraty-i-prostokaty,figury geometria kwadrat prostokąt trójkąt kąty stopnie miara kąta matma kątomierz prostokwaty katow
Język polski,Ortografia Zasady,https://gigawiedza.pl/ortograficzne-zasady-zorza,ortografia dyktando zasady reguły ch rz ż u ó pisownia polski klasa sprawdzian test gramatyka
Język polski,Quiz Ortograficzny,https://gigawiedza.pl/baza-wiedzy/klasa-4/jezyk-polski-klasa-4,quiz test zabawa gra ortografia ortograficzny ćwiczenia pisownia polski sprawdzian pytania ch rz ż u ó
Język polski,Quizy z Lektur,https://gigawiedza.pl/baza-wiedzy/klasa-4/jezyk-polski-klasa-4,lektury quizy szczegółowe test książka streszczenie polski pytania znajomość fabuły lektura gra egzamin
Historia,Historia dla Każdego,https://gigawiedza.pl/historia-dla-kazdego,historia dzieje przeszłość polska świat ciekawostki kalendarium wydarzenia szkoła fakty postacie
Historia,Liczby Rzymaskie,https://gigawiedza.pl/baza-wiedzy/klasa-4/historia-klasa-4,cyfry rzymskie liczby rzymaskie znaki i v x l c d m zapis daty historia matematyka rzym
Historia,Wieki Rzymskie,https://gigawiedza.pl/baza-wiedzy/klasa-4/historia-klasa-4,wiek epoka czas wieki rzymskie rzym historia daty stulecie osi czasu starożytność era chronologia
Przyroda,Pory Roku i Oświetlenie Ziemi,https://gigawiedza.pl/baza-wiedzy/klasa-4/przyroda-klasa-4,słońce ziemia orbita ruch obiegowy oświetlenie pory roku zima wiosna lato jesień przyroda geografia dzień noc
